beef Beef
pork Pork
sausage Sausage
tulip_yellow Yellow_Tulip
tulip_pink Pink_Tulip
salad Salad
ananas Pineapple
orange Orange
banana Banana
strawberries Strawberries
chicken Chicken
fish Fish
Cod_fillet Cod_Fillet
salmon_fillet Salmon_Fillet
crab Crab
shrimp Shrimp
califlower Cauliflower
courget Zucchini
avocado Avocado
carot Carrot
leek Leek
tulip_purple Purple_Tulip
melon Melon
apple Apple
tomato Tomato
perry Perry
asparagus Asparagus
artichoke Artichoke
shallot Shallot
pepper_red Red_Pepper
pepper_green Green_Pepper
onion Onion
garlic Garlic
potatoes Potatoes
yogurt Yogurt
custard Custard
freshcream Fresh_Cream
Cheese Cheese
salmon Salmon
Cod Cod
sausages Sausages
butter Butter
frozen_fish Frozen_Fish
frozen_beef Frozen_Beef
frozen_bean Frozen_Bean
frozen_carrots Frozen_Carrots
frozen_chips Frozen_Chips
frozen_pizza Frozen_Pizza
water_pack Packed_Water
water_b Bottled_Water
bread_ Bread
rvine Red_Wine
wvine White_Wine
beer Beer
pastis Pastis
vodka Vodka
rum Rum
malibu Malibu
whiskey Whiskey
toiletpaper Toilet_Paper
papertowels Paper_Towels
diapers Diapers
babywipe Baby_Wipe
handkerchief Facial_Tissue
WCblock WC_Block
laundrydetergent Laundry_Detergent
pan Saucepan
stove Frypan
kitchen_knife Kitchen_Knife
kitchen_knives Kitchen_Knives
scissors Scissors
plasticfilm Plastic_Film
skimmer Skimmer
Shaver Shaver
cleaner Cleaner
bleach Bleach
deodorant Deodorant
hairspray Hair_Spray
hairgel Hair_Gel
soap Soap
DishwadingLiquid Dishwashing_Liquid
toothbrush Toothbrush
shampoo Shampoo
toothpaste Toothpaste
Vinegar Vinegar
OliveOil Olive_Oil
frenchdressing French_Dressing
Ketchup Ketchup
mayo Mayo
Salt Salt
pepper Pepper
foodcat Food_Cat
fooddog Food_Dog
game_ Game
toygirl_ Toy_Girl
toyboy_ Toy_Boy
teddybear Teddy_Bear
Birthday_Candles Birthday_Candles
book Book
papersheet Paper_Sheet
pencils_ Pencils
food Food
egg_box Egg
milk Milk
milk_b Bottled_Milk
orange_j Orange_Juice
exotic_j Exotic_Juice
cola Cola
cola_can Canned_Cola
soda_orange Orange_Soda
soda_lemon Lemon_Soda
